,Unnamed: 0,post_x,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category,faces,is_people,label
0,0,2021-04-20_19-38-22_UTC,2934,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0
1,1,2021-04-12_23-42-12_UTC,2220,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,0.0,1.0,2,1.0,0.0
2,2,2021-04-11_14-28-25_UTC,2148,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0
3,3,2021-03-21_15-40-44_UTC,1621,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0
4,4,2021-03-13_18-16-28_UTC,2311,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
5,5,2021-03-12_20-15-06_UTC,3059,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,3,1.0,0.0
6,6,2021-10-24_19-26-09_UTC,3441,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,0.0
7,7,2021-03-07_19-29-15_UTC,1671,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,0.0
8,8,2021-02-20_20-23-37_UTC,1705,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
9,9,2021-02-13_15-26-27_UTC,1697,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0
10,10,2021-02-06_22-24-18_UTC,1805,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
11,11,2021-02-05_11-08-46_UTC,2065,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,3,1.0,1.0
12,12,2021-09-22_21-36-47_UTC,1941,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
13,13,2021-01-27_02-22-16_UTC,2215,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0
14,14,2021-09-17_01-18-39_UTC,2481,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,1.0
15,15,2021-01-23_16-01-58_UTC,2832,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,2,1.0,1.0
16,16,2021-01-18_16-30-08_UTC,2186,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,2,1.0,0.0
17,17,2021-01-16_15-30-36_UTC,2472,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0
18,18,2021-01-15_02-44-43_UTC,1569,1.0,2266,92464,521,3,1.0,1.0,0.0,0.0,1.0,1.0,2,1.0,0.0
19,19,2021-01-08_02-38-28_UTC,2180,1.0,2266,92464,521,3,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,1.0
20,20,2021-01-06_01-37-47_UTC,1947,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0
21,21,2021-01-05_04-48-46_UTC,1681,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0.0
22,22,2021-01-02_16-24-00_UTC,4330,1.0,2266,92464,521,3,1.0,1.0,1.0,0.0,1.0,1.0,2,1.0,0.0
23,23,2021-08-11_02-18-13_UTC,1236,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
24,24,2021-08-04_01-41-12_UTC,2232,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,0.0
25,25,2021-07-30_20-47-41_UTC,6320,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,3,1.0,0.0
26,26,2021-07-19_02-24-42_UTC,1586,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0
27,27,2021-06-29_21-55-00_UTC,6301,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0
28,28,2021-06-26_16-08-46_UTC,2258,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
29,29,2021-05-28_00-09-28_UTC,1932,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,2,1.0,1.0
30,30,2021-05-14_00-18-31_UTC,5835,1.0,2266,92464,521,3,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0
31,31,2021-04-25_23-51-43_UTC,2814,1.0,2266,92464,521,3,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0
32,32,2021-12-16_08-48-56_UTC,3493,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0
33,33,2021-12-15_08-26-47_UTC,5310,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0
34,34,2021-12-14_20-52-51_UTC,579,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0
35,35,2021-12-11_09-26-46_UTC,4124,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,3,1.0,1.0
36,36,2021-12-08_08-09-55_UTC,3126,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0
37,37,2021-12-06_07-52-17_UTC,4226,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0
38,38,2021-11-30_06-52-35_UTC,4129,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0
39,39,2021-11-25_07-31-02_UTC,1565,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,19,1.0,0.0
40,40,2021-11-24_07-44-21_UTC,2328,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,0.0
41,41,2021-11-20_07-18-46_UTC,3337,1.0,3200,105003,96,23,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0
