,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
2,2021-04-20_19-38-22_UTC,2934,0,2266,92464,521,3,0,0,Tuesday,4,20.0,Other
10,2021-04-12_23-42-12_UTC,2220,0,2266,92464,521,3,0,0,Tuesday,4,0.0,Other
12,2021-04-11_14-28-25_UTC,2148,0,2266,92464,521,3,0,0,Sunday,4,15.0,Other
19,2021-12-01_23-22-53_UTC,4443,0,2266,92464,521,3,0,0,Thursday,12,0.0,Other
28,2021-03-21_15-40-44_UTC,1621,0,2266,92464,521,3,0,0,Sunday,3,16.0,Other
34,2021-03-13_18-16-28_UTC,2311,0,2266,92464,521,3,0,0,Saturday,3,19.0,Other
36,2021-03-12_20-15-06_UTC,3059,0,2266,92464,521,3,0,0,Friday,3,21.0,Other
41,2021-10-24_19-26-09_UTC,3441,0,2266,92464,521,3,0,0,Sunday,10,20.0,Other
42,2021-03-07_19-29-15_UTC,1671,0,2266,92464,521,3,0,0,Sunday,3,20.0,Other
54,2021-02-20_20-23-37_UTC,1705,0,2266,92464,521,3,0,0,Saturday,2,21.0,Other
58,2021-02-13_15-26-27_UTC,1697,0,2266,92464,521,3,0,0,Saturday,2,16.0,Other
64,2021-02-06_22-24-18_UTC,1805,0,2266,92464,521,3,0,0,Saturday,2,23.0,Other
66,2021-02-05_11-08-46_UTC,2065,0,2266,92464,521,3,0,0,Friday,2,12.0,Other
71,2021-09-22_21-36-47_UTC,1941,0,2266,92464,521,3,0,0,Wednesday,9,22.0,Other
72,2021-01-27_02-22-16_UTC,2215,0,2266,92464,521,3,0,0,Wednesday,1,3.0,Other
75,2021-09-17_01-18-39_UTC,2481,0,2266,92464,521,3,0,0,Friday,9,2.0,Other
76,2021-01-23_16-01-58_UTC,2832,0,2266,92464,521,3,0,0,Saturday,1,17.0,Other
80,2021-01-18_16-30-08_UTC,2186,0,2266,92464,521,3,0,0,Monday,1,17.0,Other
82,2021-01-16_15-30-36_UTC,2472,0,2266,92464,521,3,0,0,Saturday,1,16.0,Other
84,2021-01-15_02-44-43_UTC,1569,0,2266,92464,521,3,0,0,Friday,1,3.0,Other
90,2021-01-08_02-38-28_UTC,2180,0,2266,92464,521,3,0,0,Friday,1,3.0,Other
92,2021-01-06_01-37-47_UTC,1947,0,2266,92464,521,3,0,0,Wednesday,1,2.0,Other
94,2021-01-05_04-48-46_UTC,1681,0,2266,92464,521,3,0,0,Tuesday,1,5.0,Other
96,2021-01-02_16-24-00_UTC,4330,0,2266,92464,521,3,0,0,Saturday,1,17.0,Other
99,2021-08-11_02-18-13_UTC,1236,0,2266,92464,521,3,0,0,Wednesday,8,3.0,Other
102,2021-08-04_01-41-12_UTC,2232,0,2266,92464,521,3,0,0,Wednesday,8,2.0,Other
104,2021-07-30_20-47-41_UTC,6320,0,2266,92464,521,3,0,0,Friday,7,21.0,Other
110,2021-07-19_02-24-42_UTC,1586,0,2266,92464,521,3,0,0,Monday,7,3.0,Other
122,2021-06-29_21-55-00_UTC,6301,0,2266,92464,521,3,0,0,Tuesday,6,22.0,Other
123,2021-06-26_16-08-46_UTC,2258,0,2266,92464,521,3,0,0,Saturday,6,17.0,Other
134,2021-05-28_00-09-28_UTC,1932,0,2266,92464,521,3,0,0,Friday,5,1.0,Other
139,2021-05-14_00-18-31_UTC,5835,0,2266,92464,521,3,0,0,Friday,5,1.0,Other
